PRODUTO,UF,PREÇO SANTA CRUZ
382903249169,RJ,"248,55"
382903249169,SC,"205,82"
382903249169,SP,"250,47"
382903249176,DF,"239,55"
382903249176,GO,"203,24"
382903249176,MS,"219,89"
382903249176,PR,"261,76"
382903249176,RJ,"248,55"
382903249176,SC,"205,82"
382903249176,SP,"250,47"
382903249183,DF,"259,61"
382903249183,GO,"220,26"
382903249183,MG,"260,13"
382903249183,MS,"238,31"
382903249183,PR,"283,82"
382903249183,RJ,"269,35"
382903249183,SC,"223,06"
382903249183,SP,"271,44"
382903269150,DF,"22,97"
382903269150,GO,"21,56"
382903269150,MG,"21,61"
382903269150,PR,"21,66"
382903269150,SC,"21,66"
382903269150,SP,"23,5"
382908322034,MG,"279,46"
382908322034,PR,"277,95"
382908322034,RJ,"266,04"
382908322034,SC,"220,31"
382908322034,SP,"268,1"
382908325035,GO,"217,55"
382908325035,MG,"269,49"
382908325035,PR,"306,19"
382908325035,RJ,"286,74"
382908325035,SC,"220,31"
382908325035,SP,"268,1"
382908328036,DF,"256,42"
382908328036,GO,"217,55"
382908328036,MG,"256,93"
382908328036,PR,"292,32"
382908328036,RJ,"291,58"
382908328036,SC,"220,31"
382908328036,SP,"268,1"
650240012730,BA,"6,66"
650240012730,DF,"7,05"
650240012730,GO,"7,29"
650240012730,MG,"7,68"
650240012730,MS,"7,93"
650240012730,PI,"8,03"
650240012730,PR,"8,02"
650240012730,RJ,"6,59"
650240012730,RS,"7,82"
650240012730,SC,"7,13"
650240012730,SP,"7,43"
650240012730,TO,"8,09"
810508000507,MG,"13,1"
810508000507,MS,"12,04"
810508000507,PR,"13,13"
810508000507,RS,"12,95"
810508000507,SC,"12,17"
810508000514,MG,"13,1"
810508000514,MS,"12,04"
810508000514,PR,"13,13"
810508000514,RS,"12,95"
810508000514,SC,"12,17"
3282770073041,PR,"96,05"
3282770073041,RS,"89,82"
3282770073041,SC,"79,2"
3282770074734,DF,"63,01"
3282770075267,DF,"56,27"
3282770075267,GO,"48,77"
3282770075267,SP,"49,6"
3282770075526,MG,"127,72"
3282770075526,RJ,"107,69"
3282770075526,SP,"103,67"
3282770075533,DF,"93,24"
3282770075533,GO,"72,79"
3282770075533,MG,"88,24"
3282770075533,RS,"88,26"
3282770075533,SC,"79,86"
3282770075533,SP,"75,16"
3282770100228,CE,"138,13"
3282770100228,DF,"131,32"
3282770100228,GO,"106,72"
3282770100228,MG,"131,42"
3282770100228,PR,"120,97"
3282770100228,RJ,"106,4"
3282770100228,RS,"131,41"
3282770100228,SC,"95,94"
3282770100228,SP,"117,54"
3282770100242,DF,"131,32"
3282770100242,GO,"106,72"
3282770100242,RJ,"106,4"
3282770100242,SC,"95,94"
3282770100242,SP,"117,54"
3282770101263,PR,"40,39"
3282770101263,SC,"26,97"
3282770101669,MG,"220,28"
3282770101669,SP,"191,92"
3282770104950,MG,"138,95"
3282770104950,RS,"128,04"
3282770104950,SC,"128,04"
3282770104950,SP,"109,58"
3282770135442,DF,"83,27"
3282770135442,GO,"77,25"
3282770135442,MG,"86,04"
3282770135442,PI,"80,45"
3282770135442,PR,"86,25"
3282770135442,RJ,"68,75"
3282770135442,RS,"86,03"
3282770135442,SC,"71,12"
3282770135442,SP,"66,53"
3282770138894,MG,"26,38"
3282770138894,PR,"24,2"
3282770138894,RJ,"21,64"
3282770138894,RS,"26,63"
3282770138894,SC,"24,72"
3282770138894,SP,"24,44"
3282770139167,PI,"32,46"
3282770139167,PR,"29,93"
3282770139167,RJ,"26,32"
3282770139167,SC,"24,75"
3282770139167,SP,"30,33"
3282770139211,MG,"37,9"
3282770139211,PI,"39,32"
3282770139211,PR,"37,22"
3282770139211,RJ,"36,01"
3282770139211,SC,"35,08"
3282770139211,SP,"40,36"
3282770139228,DF,"56,26"
3282770139228,GO,"46,3"
3282770139228,MG,"50,5"
3282770139228,PI,"51,11"
3282770139228,PR,"47,85"
3282770139228,RJ,"47,21"
3282770139228,SC,"49,19"
3282770139228,SP,"50,51"
3282770139235,BA,"64,81"
3282770139235,CE,"63,21"
3282770139235,DF,"79,53"
3282770139235,GO,"65,45"
3282770139235,MG,"69,71"
3282770139235,PR,"72,62"
3282770139235,RJ,"66,27"
3282770139235,RS,"66,66"
3282770139235,SC,"69,53"
3282770139235,SP,"76,22"
3282770141481,DF,"77,26"
3282770141481,GO,"70,87"
3282770141481,MG,"77,31"
3282770141481,PR,"70,86"
3282770141481,RJ,"62,58"
3282770141481,RS,"77,31"
3282770141481,SC,"66,35"
3282770141481,SP,"66,04"
3282770141511,CE,"75,59"
3282770141511,DF,"77,26"
3282770141511,GO,"70,87"
3282770141511,MG,"77,31"
3282770141511,PR,"70,86"
3282770141511,RJ,"62,58"
3282770141511,RS,"77,31"
3282770141511,SC,"66,35"
3282770141511,SP,"66,04"
3282770141559,DF,"60,26"
3282770141559,GO,"55,28"
3282770141559,MG,"60,28"
3282770141559,RJ,"48,82"
3282770141559,RS,"60,29"
3282770141559,SC,"51,76"
3282770141559,SP,"53,4"
3282770141580,DF,"60,26"
3282770141580,GO,"55,28"
3282770141580,MG,"60,28"
3282770141580,PR,"55,27"
3282770141580,RJ,"48,82"
3282770141580,RS,"60,29"
3282770141580,SC,"51,76"
3282770141580,SP,"53,4"
3282770141856,CE,"41,19"
3282770141856,DF,"39,89"
3282770141856,GO,"39,66"
3282770141856,MG,"37,88"
3282770141856,PI,"44,92"
3282770141856,PR,"36,28"
3282770141856,RJ,"36,13"
3282770141856,RS,"37,88"
3282770141856,SC,"33,11"
3282770141856,SP,"35,19"
3282770141948,PR,"55,99"
3282770141948,RS,"48,66"
3282770141948,SC,"45,25"
3282770143898,DF,"71,84"
3282770143898,GO,"64,32"
3282770143898,MG,"71,88"
3282770143898,PI,"98,44"
3282770143898,PR,"65,91"
3282770143898,RJ,"56,16"
3282770143898,RS,"71,88"
3282770143898,SC,"59,55"
3282770143898,SP,"63,66"
3282770143898,TO,"73,76"
3282770143935,BA,"56,48"
3282770143935,CE,"66,55"
3282770143935,DF,"64,31"
3282770143935,GO,"58,75"
3282770143935,MG,"63,85"
3282770143935,MS,"66,7"
3282770143935,PI,"66,98"
3282770143935,PR,"61,88"
3282770143935,RJ,"55,81"
3282770143935,RS,"63,86"
3282770143935,SC,"54,3"
3282770143935,SP,"55,67"
3282770143935,TO,"66,1"
3282770143942,BA,"77,68"
3282770143942,CE,"91,53"
3282770143942,DF,"88,42"
3282770143942,GO,"80,78"
3282770143942,MG,"87,79"
3282770143942,PI,"92,11"
3282770143942,PR,"85,1"
3282770143942,RJ,"73,86"
3282770143942,RS,"87,79"
3282770143942,SC,"77,96"
3282770143942,SP,"80,23"
3282770143942,TO,"90,88"
3282770144369,BA,"81,96"
3282770144369,DF,"102,7"
3282770144369,GO,"88,38"
3282770144369,MG,"87,79"
3282770144369,PI,"90,17"
3282770144369,PR,"83,7"
3282770144369,SC,"74,33"
3282770144369,SP,"87,8"
3282770144369,TO,"100,83"
3282770144376,CE,"48,97"
3282770144376,DF,"61,26"
3282770144376,MG,"52,68"
3282770144376,PI,"54,09"
3282770144376,PR,"50,08"
3282770144376,RJ,"45,7"
3282770144376,SC,"44,27"
3282770144376,SP,"52,67"
3282770144376,TO,"58,08"
3282770144413,DF,"93,97"
3282770144413,GO,"77,32"
3282770144413,PR,"74,21"
3282770144413,RS,"80,6"
3282770144413,SC,"82,15"
3282770144413,SP,"71,79"
3282770144420,CE,"32,69"
3282770144420,DF,"37,35"
3282770144420,GO,"31,06"
3282770144420,MG,"31,92"
3282770144420,PI,"35,18"
3282770144420,PR,"30,43"
3282770144420,RJ,"28,68"
3282770144420,SC,"27,03"
3282770144420,SP,"30,22"
3282770144437,BA,"46,93"
3282770144437,CE,"48,25"
3282770144437,DF,"60,85"
3282770144437,GO,"50,61"
3282770144437,MG,"50,28"
3282770144437,MS,"57,68"
3282770144437,PI,"51,64"
3282770144437,PR,"47,93"
3282770144437,RJ,"43,66"
3282770144437,RS,"50,27"
3282770144437,SC,"42,58"
3282770144437,SP,"40,73"
3282770144437,TO,"59,75"
3282770144451,BA,"61,61"
3282770144451,CE,"77,43"
3282770144451,DF,"69,53"
3282770144451,GO,"63,79"
3282770144451,MG,"69,57"
3282770144451,PI,"79,45"
3282770144451,PR,"63,78"
3282770144451,RJ,"56,32"
3282770144451,RS,"69,56"
3282770144451,SC,"57,26"
3282770144451,SP,"61,6"
3282770144451,TO,"71,39"
3282770144475,BA,"61,61"
3282770144475,DF,"69,53"
3282770144475,GO,"63,79"
3282770144475,MG,"69,57"
3282770144475,MS,"70,49"
3282770144475,PI,"79,45"
3282770144475,PR,"63,78"
3282770144475,RJ,"56,32"
3282770144475,RS,"69,56"
3282770144475,SC,"57,26"
3282770144475,SP,"61,6"
3282770144475,TO,"71,39"
3282770146172,DF,"35,44"
3282770146172,GO,"32,38"
3282770146172,MG,"27,53"
3282770146172,PR,"30,49"
3282770146172,RJ,"28,66"
3282770146172,RS,"35,2"
3282770146172,SC,"30,36"
3282770146172,SP,"28,33"
3282770147391,MG,"71,83"
3282770147391,RJ,"60,59"
3282770147391,SP,"63,77"
3282770147414,RJ,"73,16"
3282770147414,SP,"77,07"
3282770148794,DF,"43,22"
3282770148794,GO,"36,06"
3282770148794,MG,"37,9"
3282770148794,PI,"39,32"
3282770148794,RJ,"36,01"
3282770148794,RS,"36,22"
3282770148794,SP,"34,77"
3282770148800,BA,"45,78"
3282770148800,CE,"49,1"
3282770148800,DF,"56,26"
3282770148800,GO,"46,3"
3282770148800,MG,"50,5"
3282770148800,MS,"53,09"
3282770148800,PI,"51,11"
3282770148800,RJ,"47,21"
3282770148800,SP,"50,51"
3282770148817,BA,"64,81"
3282770148817,DF,"79,53"
3282770148817,GO,"65,45"
3282770148817,MG,"69,71"
3282770148817,MS,"73,89"
