PRODUTO,UF,CONCORRENTE,PREÇO CONCORRENTE,HORA COLETA
7896014140527,MG,A,"23,81",11/03/99 05:02:06
7895858017408,MG,A,"137,54",11/03/99 05:02:43
7891317015510,MG,A,"133,19",11/03/99 05:02:57
7891158105234,MG,A,"182,95",11/03/99 05:03:20
7896004820439,MG,A,"280,46",11/03/99 05:03:34
7891000287699,MG,A,"130,4",11/03/99 05:03:48
7896641813405,MG,A,"112,49",11/03/99 05:04:02
7896000705945,MG,A,"11,34",11/03/99 05:04:24
7897473207479,MG,A,"353,55",11/03/99 05:04:38
7896094210134,MG,A,"42,76",11/03/99 05:04:52
7891058020286,DF,B,"47,61",11/03/99 05:06:11
7891058016999,DF,B,"47,61",11/03/99 05:06:19
7891058022594,DF,B,"75,3",11/03/99 05:06:27
7897930777743,DF,B,"74,69",11/03/99 05:06:36
7897930777798,DF,B,"74,69",11/03/99 05:06:49
7896658025112,DF,B,"122,6",11/03/99 05:07:03
7898040325466,DF,B,"116,25",11/03/99 05:07:11
7896015592110,DF,B,"98,82",11/03/99 05:07:24
7891106912167,DF,B,"15,85",11/03/99 05:07:33
7894916514422,DF,B,"158,68",11/03/99 05:07:41
7891045031257,DF,B,"58,05",11/03/99 05:07:59
7891058002336,DF,B,"85,56",11/03/99 05:08:08
7896658027796,DF,B,"95,87",11/03/99 05:08:16
8429420197985,DF,B,81,11/03/99 05:08:25
7898040323844,DF,B,"128,6",11/03/99 05:08:33
7891106910248,DF,B,"49,33",11/03/99 05:08:42
7891106907286,DF,B,"25,71",11/03/99 05:08:55
7891317019310,DF,B,"201,07",11/03/99 05:09:23
7891137003421,DF,B,"122,81",11/03/99 05:09:37
7896658028205,DF,B,"159,26",11/03/99 05:09:50
7908615000169,DF,B,"33,64",11/03/99 05:09:59
7898040323806,DF,B,"81,66",11/03/99 05:10:17
7891058022730,DF,B,"90,5",11/03/99 05:10:25
7891317192389,DF,B,"114,54",11/03/99 05:10:34
7891142205643,DF,B,"66,23",11/03/99 05:10:42
3282770153507,DF,B,"84,01",11/03/99 05:10:51
7896658026850,DF,B,"30,1",11/03/99 05:10:59
7899420508127,DF,B,"131,8",11/03/99 05:11:08
7891058000295,DF,B,"30,15",11/03/99 05:11:16
7891142205704,DF,B,"66,23",11/03/99 05:11:25
7908615000244,DF,B,"58,72",11/03/99 05:11:33
7891317007560,DF,B,"164,08",11/03/99 05:11:41
7891058017002,DF,B,"75,3",11/03/99 05:11:50
